"","longL93fic","latL93fich"
"564",1002301.01,6363975.08
"565",1002244.03,6363934.31
"566",1002258.57,6363900.97
"567",1002241.89,6363574.85
"568",1002287.32,6363257.72
"569",1002442.52,6363289.21
"570",1002296.99,6363176.11
"571",1001999.34,6363596.23
"572",1002037.31,6363508.97
"573",1002101.94,6363600.16
"574",1002330.44,6363542.07
"575",1002287.67,6363729.2
"576",1002310.5,6363598.17
"577",1002238.51,6363510.63
"578",1002247.81,6363346.91
"579",1002133.04,6363431.49
"580",1002210.43,6363302.08
"581",1002047.87,6363244.22
"582",1001987.34,6363157.23
"583",1001947.43,6363015.18
"584",1002376.9,6364385.13
"585",1002045.32,6364629.45
"586",940998.86,6338593.67
"587",941913.2,6337124.62
"588",940669.12,6338845.27
"589",941956.51,6338197
"590",1009751.98,6375015.39
"591",1009804.92,6374974.96
"592",1009899.45,6374804.45
"593",1009961.36,6375018.72
"594",1009945.73,6375000.93
"595",1009970.51,6374935.08
"596",1009940.39,6374963.63
"597",1010016.1,6374898.3
"598",1010135.09,6374959.23
"599",1010106.98,6375048.93
"600",1010086.76,6375094.98
"601",1009638.84,6374136.95
"602",1009276.91,6373412.41
"603",1009946.84,6372825.81
"604",1009733.79,6372517
"605",1009201.68,6372928.23
"606",1008795.3,6373163.49
"607",1008750.6,6374583.7
"608",1008913.01,6373805.91
